"kv342","e0121500.jpg","A III 2028:273","","","lyijykynä, paperi","23","29","","",""
"kv344","e0121800.jpg","A III 2022:3","","tussi- ja vesivärilaveeraus","tussi ja vesiväri, paperi","13","22","","Finlands Nationalgalleri","724"
"kv345","e0121900.jpg","A III 2022:2","","vesivärilaveeraus","vesiväri, paperi","13","22","","Finlands Nationalgalleri","725"
"kv347","e0122300.jpg","A III 2028:295","","tussi","tussi, paperi","21","34","","Finlands Nationalgalleri",""
"kv356","e0126700.jpg","A III 2028:308","","lyijykynä","lyijykynä, paperi","23","38","","Finlands Nationalgalleri",""
"kv357","e0126701.jpg","A III 2028:308","","lyijykynä","lyijykynä, paperi","23","38","","Finlands Nationalgalleri",""
"kv363","e0130300.jpg","A III 2028:296","","hiili","hiili, paperi","24","36","","Finlands Nationalgalleri",""
"kv365","e0130900.jpg","A III 2028:319","","tussi","tussi, paperi","23","37","","",""
"kv380","f0115000.jpg","A-1993-361","","lyijykynä","lyijykynä, paperi","33","27","","",""
"kv381","f0125500.jpg","A-1994-225","MUOTOKUVA; nainen; malli; pariisilainen; rintakuva; aamutakki","pastelli paperille, kiinnitetty kankaalle","pastelli, paperi","","","","Finlands Nationalgalleri","445"
"kv383","f0138800.jpg","A I 215 B","FIGUURI; mies; malli; n. 3/5 vartalo; alaston; selin","öljy kankaalle","öljy, kangas","73","54","","","97"
"kv384","f0138900.jpg","A I 215 G","FIGUURI; mies; malli; alaston; kokovartalo edestä; kasvot profiilissa; viikset; nuija","öljy kankaalle","öljy, kangas","73","60","","","105"
"kv387","f0151300.jpg","A III 2028:183","","lyijykynä","lyijykynä, paperi","22","36","","",""
"kv388","f0151301.jpg","A III 2028:183","","lyijykynä","lyijykynä, paperi","22","36","","",""
"kv391","f0151600.jpg","A II 1319","KOHTAUS; lapset; pojat; urheilu; uinti; MAISEMA; Porvoonjoki; Porvoo; Uusimaa","lyijykynä ja tussi","lyijykynä, tussi, paperi","41","32","","Finlands Nationalgalleri",""
"kv414","f0170500.jpg","A III 2028:82","","lyijykynä","lyijykynä, paperi","37","46","","Finlands Nationalgalleri",""
"kv416","f0170700.jpg","A III 2028:309","","","lyijykynä, paperi","24","39","","Finlands Nationalgalleri",""
"kv420","f0171200.jpg","A III 2028:30","","tussi- ja seepialaveeraus","tussi, paperi, seepia","63","47","","",""
"kv423","f0171600.jpg","A III 2028:240","","tussi","tussi, paperi","30","44","","Finlands Nationalgalleri",""
"kv448","f0174400.jpg","A III 2022:43","","vesiväri","vesiväri, paperi","44","30","","",""
"kv458","f0175800.jpg","A III 2023:10","","seepialaveeraus","seepia, paperi","21","27","","Finlands Nationalgalleri","112"
"kv459","f0175900.jpg","A III 2028:245","","hiili","hiili, paperi","51","36","","Finlands Nationalgalleri",""
"kv460","f0176200.jpg","A III 2023:8","","tussilaveeraus","tussi, paperi","19","28","","Finlands Nationalgalleri","112"
"kv462","f0176400.jpg","A III 2028:280","","lyijykynä","lyijykynä, paperi","28","21","","Finlands Nationalgalleri",""
"kv463","f0176500.jpg","A III 2028:276","","tussi kalkeerauspaperille","tussi, kalkeerauspaperi","25","17","","Finlands Nationalgalleri",""
"kv471","f0177701.jpg","A II 1254:19","FIGUURI; mies; rintakuva; profiili; hatunnosto; MAISEMA; Caloniuksen hautamuistomerkki; Askainen; Varsinais-Suomi","lyijkynä","lyijkynä, paperi","33","25","","",""
"kv472","f0177702.jpg","A II 1254:19","FIGUURI; mies; rintakuva; profiili; hatunnosto; MAISEMA; Caloniuksen hautamuistomerkki; Askainen; Varsinais-Suomi","lyijkynä","lyijkynä, paperi","33","25","","",""
